,word,type
0,संतुलित,positive
1,बिलकुल,stopword
2,आभारी,positive
3,कर,stopword
4,खंडनकरना,negative
5,हंगामों,negative
6,व्याकुलता,negative
7,सार्थक,positive
8,बुरा,negative
9,शल्कीभवन,negative
10,कायर,negative
11,धब्बा,negative
12,शान्ति,positive
13,अधिकवजन,negative
14,उलझाना,negative
15,विस्थापित,negative
16,द्वेषी,positive
17,उबातेहुए,negative
18,गयी,stopword
19,अप्राकृतिक,negative
20,छन्दबद्ध,positive
21,शक,negative
22,अशांति,negative
23,असहमति,negative
24,गई,stopword
25,आपत्ति,negative
26,सबसे,positive
27,विश्वासघात,negative
28,सम्मानित,positive
29,संगदिल,negative
30,नागवार,negative
31,अस्वस्थता,negative
32,नरसंहार,negative
33,ऊबड़खाबड़,negative
34,प्रतिपक्षी,negative
35,कर्कश,negative
36,चिकनी,positive
37,अनौचित्य,negative
38,अरुचिकर,negative
39,मुस्कान,positive
40,माफ,positive
41,जाल,negative
42,मिलजाना,negative
43,उद्रेचक,negative
44,प्रभावशाली,positive
45,गुस्सादिलाना,negative
46,अभिन्न,positive
47,मधुरता ,positive
48,अप्रातिकर,negative
49,निहायत,positive
50,मर्यादित,negative
51,फोड़ा,negative
52,निराना,negative
53,निर्लज्ज,negative
54,युद्ध ,negative
55,हेरफेर,negative
56,मौलिक,positive
57,रचनासुचना,negative
58,हाथनीचे,positive
59,मदहोश,positive
60,पीडाकार,negative
61,तीव्र,positive
62,तथा,stopword
63,कमजोरी,negative
64,अहानिकर,positive
65,विमुख,negative
66,दयाकरना,negative
67,पूर्वाभास,negative
68,अपरिपक्व,negative
69,बयाना,positive
70,किया जा रहा है,stopword
71,प्रतिद्वंद्विता,negative
72,नाराज़,negative
73,चकाचौंधा,positive
74,चालाक,positive
75,सुन्दर ,positive
76,जीर्णशीर्ण,negative
77,मस्त,positive
78,अधीनस्थ,negative
79,गैरविश्वास,negative
80,मृत,negative
81,पक्षपात,negative
82,शिखर,positive
83,सीधासादा,positive
84,दीप्ति,positive
85,प्रत्यपकारना,negative
86,थोपना,negative
87,स्पष्टवादी,positive
88,आग्रहपूर्वक,positive
89,लापरवाही,negative
90,बहुउद्देशीय,positive
91,टूटजाना,negative
92,अल्पपारिश्रमिक,negative
93,हो,stopword
94,पथभ्रष्ट,negative
95,क्रूरताओं,negative
96,कमबख्त,negative
97,प्रकोप,negative
98,चतुराई ,positive
99,विनम्र,positive
100,सबसेखराब,negative
101,अनायास,negative
102,उत्तेजना,negative
103,हर्ष,positive
104,देरी,negative
105,आक्रमणकरना,negative
106,गंभीरता,negative
107,यातनाऐं,negative
108,बल्ली,negative
109,डरावनी,negative
110,काउंटरहमले,positive
111,समर्पित,positive
112,संतुष्ट,positive
113,हवाभराहुआ,negative
114,दुर्गंधयुक्त,negative
115,बयार,positive
116,अनावश्यक,negative
117,नकारना,negative
118,को,stopword
119,सुडौल,positive
120,पराया,negative
121,गलतरूप ,negative
122,धैर्यपूर्वक,positive
123,कुरकुरा,positive
124,फुसलाना,positive
125,कायरतापूर्वक,negative
126,होते,stopword
127,प्रबंधनीय,positive
128,असयंमित,negative
129,कमिटमेंट,positive
130,हँसमुख,positive
131,अभिमान,negative
132,यथार्थवादी,positive
133,बढ़ाना,positive
134,लड़ाई,negative
135,कसाई,negative
136,हथकंडा,negative
137,भंगकरना,negative
138,बेसुध,negative
139,पीनापिलाना,positive
140,निराकरण,negative
141,इनके,stopword
142,जो,stopword
143,थकाना,negative
144,ढीठपन,negative
145,चालबाज़ियों,negative
146,आत्महत्या,negative
147,खराब,negative
148,समय ,positive
149,आदरपूर्वक,positive
150,खसोटना,negative
151,साहस,positive
152,गहराई ,positive
153,बीच,stopword
154,प्रदूषक,negative
155,शुभ,positive
156,पूरा,positive
157,झुलसानेवाला,negative
158,सुलभ,positive
159,थकाऊ,negative
160,अभिलोपित,negative
161,क्रूरतापूर्ण,negative
162,बेतुकेपन ,negative
163,थकान,negative
164,हार,negative
165,आत्मआलोचना,negative
166,कंपन,negative
167,विशेषाधिकृत,positive
168,शानदार,positive
169,तीव्रता,negative
170,चुभन,negative
171,बिछुड़ ,negative
172,स्वभाग्यनिर्णय,positive
173,हिंसक,negative
174,मजबूती ,positive
175,दोषपूर्ण,negative
176,फटकारना,negative
177,घृणोत्पादकता,negative
178,रॉकस्टार,positive
179,तुरन्त,positive
180,सुविधापूर्वक,positive
181,भव्य,positive
182,बेडौल,negative
183,विश्वसनीय,positive
184,लटपटाना,negative
185,भाग्यशाली,positive
186,निंदनीय,negative
187,मुश्किल,positive
188,बकना,negative
189,मनहूस,negative
190,बोझिल,negative
191,कटुतापूर्वक,negative
192,विकार,negative
193,घबड़ाया ,negative
194,प्रसिद्धि,positive
195,मजबूरी,negative
196,अच्छीतरह,positive
197,पिछड़ा,negative
198, अलौकिक ,positive
199,निराशाजनक,negative
200,मिथ्यासिद्ध ,negative
201,संपन्न,positive
202,भोर,positive
203,सतेज,positive
204,अर्थदंड,negative
205,पुरातन,negative
206,शांत,positive
207,सत्तावादी,negative
208,भोलेपन,positive
209,पक्षपातपूर्ण,negative
210,कमजोर,negative
211,अभिमान,positive
212,आराध्य,positive
213,सदर्प,negative
214,संतुष्ट करना,positive
215,कमकरना,negative
216,बदगोई,negative
217,उन्मत,negative
218,दृढ़ता,positive
219,विशाल,positive
220,चाहिए,stopword
221,भावुक,positive
222,हठधर्मी,negative
223,लचीला,positive
224,दयनीय,negative
225,विधर्मी,negative
226,लवलीन,negative
227,अपसमायोजन,negative
228,इलाज,positive
229,में कुछ,stopword
230,भगोड़ा,negative
231,भिखारी,negative
232,भी,stopword
233,दहन,negative
234,रोमांचकारी,positive
235,उल्लंघन,negative
236,गतिरोघक,negative
237,डींगिया,negative
238,प्रचार,positive
239,से,stopword
240,गुफा,negative
241,भयंकरता,negative
242,घृणा,negative
243,प्रगतिशील,positive
244,सारहीन,negative
245,फैशन,positive
246,बाध्यकारी,negative
247,कब,stopword
248,परस्परविरोधी,negative
249,धँसा,negative
250,श्रांत,negative
251,प्रवंचना,negative
252,ज्वलंत,positive
253,निविदा,positive
254,सच्चा,positive
255,उत्तेजना,positive
256,अप्रत्यक्ष,negative
257,अस्पष्टता,negative
258,मंदी,negative
259,उत्पादक,positive
260,हितों,positive
261,कनखियों ,negative
262,﻿के,stopword
263,हड़ताली,positive
264,पेशेवरों,positive
265,शीघ्र,positive
266,सर्वोच्चतापूर्वक,positive
267,भाररहित,positive
268,शाही,positive
269,व्यंग्यपूर्वक,negative
270,इनकी,stopword
271,पात्रता,positive
272,उथला,negative
273,दोष,negative
274,अक्षमता,negative
275,अर्द्धमंद,negative
276,ख़फ़ा,negative
277,फंसाने,negative
278,प्रशंसक,positive
279,खामियों,negative
280,समायोज्य,positive
281,अनभ्यस्त,negative
282,नेकी,positive
283,विकलांग,negative
284,फ़रारहोना,negative
285,ऊर्जाकीबचत,positive
286,ताकझांक ,negative
287,आपदा,negative
288,प्रतियोगी,positive
289,ठीककरना,positive
290,उत्तेजना ,positive
291,बुराइयों,negative
292,ठगी,negative
293,त्रस्तकरना,negative
294,मेहमाननवाज,positive
295,शोरगुल,negative
296,हांफी,negative
297,नफरत,negative
298,असमंजस ,negative
299,गलतधारणाओं,negative
300,झंझट,negative
301,अनिवार्यरूपसे,negative
302,उत्तराधिकारी ,positive
303,कट्टरपंथियों,negative
304,प्रोत्साहित,positive
305,उन्मत्त,negative
306,उपहासात्मक,negative
307,मूल्यवान,positive
308,शार्क,negative
309,वक्रपटुता,negative
310,निरादरपूर्वक,negative
311,कुत्सित,negative
312,अहंभाव,negative
313,प्रामाणिक,positive
314,अधिकखौफ,negative
315,रसिक,positive
316,निहायत,negative
317,खूँखार ,negative
318,उत्तरदायी,negative
319,कुपित,negative
320,दुबला,positive
321,अन्यायी,negative
322,उत्सवसंबंधी,positive
323,हेकड़ी,negative
324,चीखते ,negative
325,ख़ारिज ,negative
326,ठोकरखाई,negative
327,अराजकता,negative
328,असामयिक,negative
329,असंतुष्टा,negative
330,सभी,stopword
331,गर्व,positive
332,अप्रतिलभ्य,negative
333,शोकाकुल,negative
334,मतिमंद,negative
335,मायूसी,negative
336,चिंताओं,negative
337,ऐयाशी,negative
338,उन्हों,stopword
339,फेंकदिया,negative
340,वक्रोक्ति,negative
341,उंगलियोंपरनचाना,negative
342,हैं,stopword
343,अधिकतम,positive
344,अवनति ,negative
345,जिम्मेदारी ,positive
346,लालच ,negative
347,स्थिर,positive
348,पराजित,positive
349,खींचें,negative
350,अथवा,stopword
351,कमआंका ,negative
352,जल्दी,negative
353,धोखादेना,negative
354,पाप,negative
355,हिम्मत ,positive
356,जंगी,negative
357,नृशंसता,negative
358,सुपरफ्लॉप,negative
359,अविवेक,negative
360,निष्पक्षता,positive
361,पलटा,negative
362,असामाजिक,negative
363,कसूरवार,negative
364,फजी,negative
365,उग्रवादी,negative
366,यदि,stopword
367,चुगली,negative
368,पर,stopword
369,आश्चर्यजनक,positive
370,भीषणरूप ,negative
371,नागवारी,negative
372,शाप,negative
373,संजोना,positive
374,अहंकारी,negative
375,संत्रास,negative
376,ग़लत,negative
377,खिले,positive
378,आत्मसंतोष,positive
379,सक्षम,positive
380,सुधारा ,positive
381,बदला,negative
382,प्रख्यात,positive
383,हास्य,positive
384,ढीला,negative
385,वमनकरना,negative
386,कल,stopword
387,करुणापूर्वक,negative
388,दुष्टतापूर्वक,negative
389,लाभकारी,positive
390,कराहना,negative
391,अवहेलना ,negative
392,तृष्णापूर्वक,negative
393,प्रतिद्वंद्वी,negative
394,कमविकसित,negative
395,काफिरों,negative
396,मोचन,positive
397,स्पष्टता,positive
398,पोषण,positive
399,बेअदबी ,negative
400,अवनीत,negative
401,भ्रातृसदृश,positive
402,वसा,negative
403,अप्रभावी,negative
404,अहंकारपूर्ण,negative
405,मंदा,negative
406,रहस्यमय,negative
407,सब्सिडी,positive
408,सुनसान,negative
409,कोमल,positive
410,मुस्तैदी ,positive
411,लड़ाकू,negative
412,तिरछा,negative
413,द्वेषजनक,negative
414,वध,negative
415,निर्विवाद,positive
416,हिम्मततोड़नेवाला,negative
417,अवर्म,negative
418,मिलनसार,positive
419,सप्रेम,positive
420,संतोषप्रद ,positive
421,विरोधाभास ,negative
422,सन्धिप्रस्ताव,positive
423,चमकदमक ,positive
424,तिन्हें,stopword
425,अरस,negative
426,हर्षपूर्वक,positive
427,रोनेवाला,negative
428,संरक्षण,positive
429,अधूरा,negative
430,रचनात्मक,positive
431,द्वीपीय,negative
432,धूल,negative
433,आदि,stopword
434,हार,positive
435,सौंदर्य,positive
436,परतदार,negative
437,मरतेहुए,negative
438,समान,stopword
439,आलोचना,negative
440,आतंकित ,negative
441,सँकरा,negative
442,शौक़ीन,positive
443,अनुकूल,positive
444,वेग,negative
445,उद्दाम,negative
446,नादुस्र्स्ती ,negative
447,बोधगम्य,positive
448,उपदेशदेना,negative
449,लाड़प्यार,positive
450,टूटता,negative
451,व्यंग्यात्मक,negative
452,कोसना,negative
453,बढ़ाचढ़ाकर ,negative
454,हुये,stopword
455,बलिदान,negative
456,रमणीय,positive
457,दारुण,negative
458,उल्टा,negative
459,फासिज्म,negative
460,कटु,negative
461,कुड़कुड़ाना,negative
462,लालित्य,positive
463,झुर्रियाँ,negative
464,शोषित,negative
465,खिजाना,negative
466,हठीपन,negative
467,डमीप्रूफ,negative
468,की,stopword
469,अवास्तविक,negative
470,मुखर,negative
471,ताने,negative
472,पश्चाताप ,negative
473,उसकी,stopword
474,कोमलता,negative
475,सुपर,positive
476,सिसकी,negative
